ProductId,ProductName,SystemVersion,DataSheetName,ExternalArgusId,EffectiveVersion,EffectiveDate,ReceivedDate,CreatedBy,CreatedByUserName,Action,CreationDate,DictionaryVersion,Status,VerificationRejectionComment,Comment,qcComment,approverComment
"39","Etanercept","19.0","CORE","100000084","45","24-Jun-2020","25-Jun-2020","189","akumar45","Edit","6/29/2020 8:21:44 AM","23.0","","","","",""
"39","Etanercept","21.0","USPI","100000085","66","26-Aug-2020","08-Sep-2020","321","aorzal","Edit","9/9/2020 12:39:28 PM","23.0","","","","",""
"39","Etanercept","24.0","CORE","100000084","46","19-Nov-2020","20-Nov-2020","321","aorzal","Edit","11/23/2020 8:02:37 PM","23.1","Draft","","","",""
"39","Etanercept","25.0","IB","100000086","21.0","22-Feb-2021","08-Mar-2021","321","aorzal","Edit","3/9/2021 2:59:17 AM","23.1","Draft","","","",""
"39","Etanercept","25.0","EU-RSI","100011565","21.0","22-Feb-2021","08-Mar-2021","321","aorzal","Edit","3/9/2021 2:59:17 AM","23.1","Draft","","","",""
"39","Etanercept","26.0","EU-RSI","100011565","20.1","08-Mar-2019","15-Mar-2019","321","aorzal","Edit","3/18/2021 2:38:03 PM","23.1","Draft","","","",""
"39","Etanercept","26.0","CA-PM","100011790","0.0","29-Oct-2018","","321","aorzal","Add","3/18/2021 2:40:25 PM","23.1","Draft","","","",""
"39","Etanercept","26.0","CORE","100000084","46","15-Mar-2021","17-Mar-2021","321","aorzal","Edit","3/19/2021 2:24:57 AM","23.1","Draft","","","",""
"39","Etanercept","27.0","CA-PM","100011790","0.0","19-Mar-2021","","321","aorzal","Edit","3/29/2021 3:49:53 PM","23.1","Draft","","","",""
"39","Etanercept","27.0","CA-PM","100011790","0.0","29-Oct-2018","","321","aorzal","Edit","3/29/2021 3:56:10 PM","23.1","Draft","","","",""
"39","Etanercept","27.0","CA-PM","100011790","0.0","19-Mar-2021","","321","aorzal","Edit","3/29/2021 3:56:54 PM","23.1","Draft","","","",""
"39","Etanercept","28.0","CORE","100000084","47","15-Mar-2021","17-Mar-2021","321","aorzal","Edit","4/12/2021 4:59:40 PM","23.1","Draft","","","",""
"39","Etanercept","28.0","USPI","100000085","67","03-Apr-2021","08-Apr-2021","321","aorzal","Edit","4/12/2021 4:59:40 PM","23.1","Draft","","","",""
"39","Etanercept","30.0","CORE","100000084","48","20-May-2021","24-May-2021","321","aorzal","Edit","5/25/2021 4:48:49 PM","24.0","Draft","","","",""
"39","Etanercept","31.0","CORE","100000084","49","15-Jul-2021","16-Jul-2021","321","aorzal","Edit","7/19/2021 6:25:23 PM","24.0","Draft","","","",""
"39","Etanercept","32.0","CORE","100000084","50","27-Sep-2021","29-Sep-2021","321","aorzal","Edit","9/30/2021 9:38:19 PM","24.0","Draft","","","",""
"39","Etanercept","32.1","CORE","100000084","50","27-Sep-2021","29-Sep-2021","321","aorzal","Edit","9/30/2021 9:38:45 PM","24.0","Submitted for QC","","","",""
"39","Etanercept","32.1","CORE","100000084","50","27-Sep-2021","29-Sep-2021","0","sjidge","Edit","10/4/2021 3:13:08 PM","24.0","QC Completed","","","Agree - No ADR changes. Only version and date updated.",""
"39","Etanercept","33.0","CORE","100000084","50","27-Sep-2021","29-Sep-2021","321","aorzal","Lead Notified","10/4/2021 3:26:34 PM","24.0","Approved","","","","CORE version 50.0 with effective date 27/SEP/2021; only version and effective date update; no ADR/ADR changes. QC noted as - Agree and no comments."
"39","Etanercept","33.0","CORE","100000084","50","27-Sep-2021","29-Sep-2021","325","sjidge","Lead Approved","10/4/2021 3:39:29 PM","24.0","Approved","Agree with core version and effective date","","",""
"39","Etanercept","35.0","IB","100000086","21.0","22-Feb-2021","08-Mar-2021","321","aorzal","Lead Notified","2/11/2022 5:18:21 PM","24.1","Approved","","","","Update for missed PT replacement for 22.1 upversion only; PTs added - PT Urinary tract candidiasis (replaced Candiduria) and PT Oesophageal abscess (replaced Paraoesophageal abscess); No other changes. Agree and no further comments."
